ID_Player,Player_Name,Team,Position,Match_Date,Age,Minutes_Played,Goals,Assists,Yellow_Cards,Red_Cards,Distance_KM
1,Dor Peretz,Beitar Jerusalem,Defender,18/03/2024,28,90,0,0,0,0,10.38
2,Ramzi Safouri,Maccabi Tel Aviv,׳§׳©׳¨,13/05/2024,22,90,0,1,1,0,9.98
3,Tai Baribo,Beitar Jerusalem,Forward,23/08/2024,37,0,0,0,0,1,12.6
4,Gabi Kanichowsky,Maccabi Tel Aviv,Midfielder,01/06/2024,28,90,0,0,1,0,15.13
5,Anan Khalaili,Maccabi Haifa,FWD,01/02/2024,27,90,0,0,0,0,11.17
6,Mohammad Abu Fani,Maccabi Tel Aviv,Midfielder,15/01/2024,25,90,0,0,0,0,8.96
7,Dor Peretz,Maccabi Tel Aviv,Midfielder,11/05/2024,23,45,1,0,1,0,10.27
8,Eyad Abu Abaid,Beitar Jerusalem,Midfielder,26/07/2024,23,0,2,0,0,0,11.15
9,Shon Weissman,Beitar Jerusalem,׳—׳׳•׳¥,25/06/2024,25,60,0,0,0,1,
10,Gabi Kanichowsky,Hapoel Tel Aviv,Midfielder,27/03/2024,32,75,0,0,0,0,
11,Gabi Kanichowsky,Hapoel Tel Aviv,Defender,17/05/2024,31,75,0,0,3,0,11.15
12,Dia Saba,Maccabi Haifa,Forward,01/02/2024,28,90,0,0,0,0,12.49
13,Mohammad Abu Fani,Hapoel Tel Aviv,׳§׳©׳¨,09/03/2024,29,0,0,0,0,0,12.33
14,Yarden Shua,Maccabi Tel Aviv,Goalkeeper,01/05/2024,30,60,0,0,0,0,10.67
15,Anan Khalaili,Beitar Jerusalem,Midfielder,16/07/2024,25,75,0,0,0,0,12.77
16,Dia Saba,Hapoel Tel Aviv,FWD,06/04/2024,35,60,0,0,0,0,13.55
17,Eran Zahavi,Hapoel Tel Aviv,Midfielder,17/05/2024,18,60,0,0,1,0,
18,Netta Lavi,Maccabi Haifa,FWD,05/06/2024,32,75,0,0,1,0,11.13
19,Mohammad Abu Fani,Maccabi Haifa,Defender,03/05/2024,25,0,0,0,1,0,7.85
20,Lior Refaelov,Maccabi Tel Aviv,FWD,23/05/2024,28,15,0,0,0,0,8.32
